FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,1186,BOS,"Boston, MA",MA,DFW,"Dallas/Fort Worth, TX",TX,1135,1132,-3,1500,1517,17,0,0,265,285,1562,0,0,17,0,0
1/1/2015,AA,1186,DFW,"Dallas/Fort Worth, TX",TX,BOS,"Boston, MA",MA,620,614,-6,1045,1040,-5,0,0,205,206,1562,,,,,
1/1/2015,AA,1187,BDL,"Hartford, CT",CT,DFW,"Dallas/Fort Worth, TX",TX,1750,1743,-7,2105,2102,-3,0,0,255,259,1471,,,,,
1/1/2015,AA,1187,DFW,"Dallas/Fort Worth, TX",TX,BDL,"Hartford, CT",CT,1250,1249,-1,1705,1649,-16,0,0,195,180,1471,,,,,
1/1/2015,AA,1188,LAX,"Los Angeles, CA",CA,AUS,"Austin, TX",TX,1430,1503,33,1925,2006,41,0,0,175,183,1242,15,0,8,0,18
1/1/2015,AA,1192,LAX,"Los Angeles, CA",CA,ORD,"Chicago, IL",IL,1155,1152,-3,1800,1808,8,0,0,245,256,1744,,,,,
1/1/2015,AA,1193,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,2005,2002,-3,2341,2334,-7,0,0,156,152,1045,,,,,
1/1/2015,AA,1196,EGE,"Eagle, CO",CO,MIA,"Miami, FL",FL,1255,1322,27,1906,1912,6,0,0,251,230,1810,,,,,
1/1/2015,AA,1196,MIA,"Miami, FL",FL,EGE,"Eagle, CO",CO,915,913,-2,1158,1147,-11,0,0,283,274,1810,,,,,
1/1/2015,AA,1198,PSP,"Palm Springs, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,725,736,11,1210,1232,22,0,0,165,176,1126,0,0,11,11,0
