FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,DL,781,LGA,"New York, NY",NY,ATL,"Atlanta, GA",GA,1200,1206,6,1447,1417,-30,0,0,167,131,762,,,,,
1/1/2015,DL,782,MIA,"Miami, FL",FL,JFK,"New York, NY",NY,815,813,-2,1108,1103,-5,0,0,173,170,1089,,,,,
1/1/2015,DL,783,MSP,"Minneapolis, MN",MN,ATL,"Atlanta, GA",GA,630,626,-4,1008,952,-16,0,0,158,146,907,,,,,
1/1/2015,DL,784,ATL,"Atlanta, GA",GA,MSP,"Minneapolis, MN",MN,830,826,-4,1012,1020,8,0,0,162,174,907,,,,,
1/1/2015,DL,785,MSP,"Minneapolis, MN",MN,ATL,"Atlanta, GA",GA,1315,1310,-5,1645,1618,-27,0,0,150,128,907,,,,,
1/1/2015,DL,786,DFW,"Dallas/Fort Worth, TX",TX,MSP,"Minneapolis, MN",MN,800,858,58,1022,1117,55,0,0,142,139,852,37,18,0,0,0
1/1/2015,DL,787,MSP,"Minneapolis, MN",MN,ATL,"Atlanta, GA",GA,1622,1638,16,1952,1950,-2,0,0,150,132,907,,,,,
1/1/2015,DL,791,ATL,"Atlanta, GA",GA,STL,"St. Louis, MO",MO,1945,1943,-2,2029,2015,-14,0,0,104,92,484,,,,,
1/1/2015,DL,792,MCI,"Kansas City, MO",MO,MSP,"Minneapolis, MN",MN,900,855,-5,1026,1029,3,0,0,86,94,393,,,,,
1/1/2015,DL,793,BOS,"Boston, MA",MA,JFK,"New York, NY",NY,1745,1742,-3,1910,1902,-8,0,0,85,80,187,,,,,
1/1/2015,DL,794,MSP,"Minneapolis, MN",MN,SLC,"Salt Lake City, UT",UT,858,858,0,1059,1033,-26,0,0,181,155,991,,,,,
1/1/2015,DL,795,GRR,"Grand Rapids, MI",MI,MSP,"Minneapolis, MN",MN,1145,1141,-4,1228,1220,-8,0,0,103,99,408,,,,,
1/1/2015,DL,795,MSP,"Minneapolis, MN",MN,GRR,"Grand Rapids, MI",MI,1305,1302,-3,1523,1509,-14,0,0,78,67,408,,,,,
1/1/2015,DL,797,MCO,"Orlando, FL",FL,ATL,"Atlanta, GA",GA,1535,1530,-5,1710,1702,-8,0,0,95,92,404,,,,,
1/1/2015,DL,798,TPA,"Tampa, FL",FL,ATL,"Atlanta, GA",GA,945,941,-4,1117,1108,-9,0,0,92,87,406,,,,,
1/1/2015,DL,799,ATL,"Atlanta, GA",GA,SAN,"San Diego, CA",CA,2140,2142,2,2334,2316,-18,0,0,294,274,1892,,,,,
1/1/2015,DL,800,ATL,"Atlanta, GA",GA,RDU,"Raleigh/Durham, NC",NC,1510,1508,-2,1633,1618,-15,0,0,83,70,356,,,,,
1/1/2015,DL,800,RDU,"Raleigh/Durham, NC",NC,ATL,"Atlanta, GA",GA,1715,1711,-4,1854,1830,-24,0,0,99,79,356,,,,,
1/1/2015,DL,801,SNA,"Santa Ana, CA",CA,ATL,"Atlanta, GA",GA,645,641,-4,1401,1340,-21,0,0,256,239,1919,,,,,
1/1/2015,DL,803,ATL,"Atlanta, GA",GA,CAE,"Columbia, SC",SC,1818,1815,-3,1916,1911,-5,0,0,58,56,192,,,,,
1/1/2015,DL,804,PDX,"Portland, OR",OR,ATL,"Atlanta, GA",GA,2355,2354,-1,720,718,-2,0,0,265,264,2172,,,,,
1/1/2015,DL,805,PHL,"Philadelphia, PA",PA,ATL,"Atlanta, GA",GA,900,854,-6,1124,1052,-32,0,0,144,118,666,,,,,
1/1/2015,DL,806,SFO,"San Francisco, CA",CA,MSP,"Minneapolis, MN",MN,25,20,-5,602,610,8,0,0,217,230,1589,,,,,
1/1/2015,DL,807,EWR,"Newark, NJ",NJ,ATL,"Atlanta, GA",GA,745,743,-2,1021,1002,-19,0,0,156,139,746,,,,,
1/1/2015,DL,808,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,925,917,-8,1314,1256,-18,0,0,169,159,1124,,,,,
1/1/2015,DL,809,BOS,"Boston, MA",MA,MSP,"Minneapolis, MN",MN,600,600,0,830,832,2,0,0,210,212,1124,,,,,
1/1/2015,DL,810,IAH,"Houston, TX",TX,ATL,"Atlanta, GA",GA,725,722,-3,1026,1002,-24,0,0,121,100,689,,,,,
1/1/2015,DL,812,ATL,"Atlanta, GA",GA,ORD,"Chicago, IL",IL,1055,1054,-1,1205,1151,-14,0,0,130,117,606,,,,,
1/1/2015,DL,813,ATL,"Atlanta, GA",GA,PHL,"Philadelphia, PA",PA,1630,1628,-2,1835,1819,-16,0,0,125,111,666,,,,,
1/1/2015,DL,814,MCO,"Orlando, FL",FL,BOS,"Boston, MA",MA,1235,1224,-11,1522,1507,-15,0,0,167,163,1121,,,,,
1/1/2015,DL,815,ATL,"Atlanta, GA",GA,SYR,"Syracuse, NY",NY,2042,2037,-5,2254,2240,-14,0,0,132,123,794,,,,,
1/1/2015,DL,818,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,1125,1119,-6,1508,1432,-36,0,0,163,133,1124,,,,,
1/1/2015,DL,819,BOS,"Boston, MA",MA,MSP,"Minneapolis, MN",MN,800,754,-6,1027,1029,2,0,0,207,215,1124,,,,,
1/1/2015,DL,821,MSP,"Minneapolis, MN",MN,LAX,"Los Angeles, CA",CA,1535,1551,16,1735,1728,-7,0,0,240,217,1535,,,,,
1/1/2015,DL,822,SEA,"Seattle, WA",WA,DTW,"Detroit, MI",MI,700,652,-8,1415,1352,-23,0,0,255,240,1927,,,,,
1/1/2015,DL,823,CLT,"Charlotte, NC",NC,ATL,"Atlanta, GA",GA,1040,1037,-3,1153,1136,-17,0,0,73,59,226,,,,,
1/1/2015,DL,824,PHX,"Phoenix, AZ",AZ,DTW,"Detroit, MI",MI,540,808,148,1123,1331,128,0,0,223,203,1671,0,128,0,0,0
1/1/2015,DL,825,GRR,"Grand Rapids, MI",MI,MSP,"Minneapolis, MN",MN,1325,1331,6,1404,1400,-4,0,0,99,89,408,,,,,
1/1/2015,DL,827,FLL,"Fort Lauderdale, FL",FL,ATL,"Atlanta, GA",GA,645,639,-6,839,820,-19,0,0,114,101,581,,,,,
1/1/2015,DL,828,MOB,"Mobile, AL",AL,ATL,"Atlanta, GA",GA,615,613,-2,823,810,-13,0,0,68,57,302,,,,,
1/1/2015,DL,829,BOS,"Boston, MA",MA,MSP,"Minneapolis, MN",MN,1000,1004,4,1225,1239,14,0,0,205,215,1124,,,,,
1/1/2015,DL,831,IAH,"Houston, TX",TX,SLC,"Salt Lake City, UT",UT,1145,1140,-5,1411,1329,-42,0,0,206,169,1195,,,,,
1/1/2015,DL,832,DCA,"Washington, DC",VA,SLC,"Salt Lake City, UT",UT,1334,1324,-10,1627,1620,-7,0,0,293,296,1851,,,,,
